bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,arm,calibrator
4,0.4,0.5,1292,0.4322509305199396,0.35835913312693496,P6_clean,1,split,isotonic
5,0.5,0.6,119,0.5542421667111386,0.44537815126050423,P6_clean,1,split,isotonic
6,0.6,0.7,68,0.6159833267522538,0.5,P6_clean,1,split,isotonic
7,0.7,0.8,7,0.7531573537879043,0.42857142857142855,P6_clean,1,split,isotonic
8,0.8,0.9,18,0.8726829785514421,0.4444444444444444,P6_clean,1,split,isotonic
9,0.9,1.0,36,0.9750798651211556,0.5277777777777778,P6_clean,1,split,isotonic
0,0.0,0.1,33644,0.08498391939237689,0.07802282725002972,P6_fixed,7,shared,none
1,0.1,0.2,142103,0.14932444952565252,0.14851199482065824,P6_fixed,7,shared,none
2,0.2,0.3,65405,0.23853073657831514,0.25030196468159926,P6_fixed,7,shared,none
3,0.3,0.4,12015,0.33494831055873625,0.3451518934665002,P6_fixed,7,shared,none
4,0.4,0.5,1596,0.4338851467610888,0.4016290726817043,P6_fixed,7,shared,none
5,0.5,0.6,213,0.5366955672206314,0.47417840375586856,P6_fixed,7,shared,none
6,0.6,0.7,25,0.6336329206153342,0.44,P6_fixed,7,shared,none
7,0.7,0.8,0,,,P6_fixed,7,shared,none
8,0.8,0.9,0,,,P6_fixed,7,shared,none
9,0.9,1.0,0,,,P6_fixed,7,shared,none
0,0.0,0.1,37253,0.08345942525170871,0.08044989665261858,P6_fixed,7,shared,platt
1,0.1,0.2,135150,0.14925882623669304,0.1483388827229005,P6_fixed,7,shared,platt
2,0.2,0.3,65638,0.23975656760041308,0.24513239282123161,P6_fixed,7,shared,platt
3,0.3,0.4,14271,0.33622168198071967,0.33655665335295354,P6_fixed,7,shared,platt
4,0.4,0.5,2285,0.43457796624109724,0.3886214442013129,P6_fixed,7,shared,platt
5,0.5,0.6,342,0.5360367468141961,0.4239766081871345,P6_fixed,7,shared,platt
6,0.6,0.7,59,0.6335106554942275,0.4915254237288136,P6_fixed,7,shared,platt
7,0.7,0.8,3,0.7034418704747386,0.0,P6_fixed,7,shared,platt
8,0.8,0.9,0,,,P6_fixed,7,shared,platt
9,0.9,1.0,0,,,P6_fixed,7,shared,platt
0,0.0,0.1,33184,0.0752823366476825,0.0783208775313404,P6_fixed,7,shared,isotonic
1,0.1,0.2,136882,0.14652340759912444,0.1460966379801581,P6_fixed,7,shared,isotonic
2,0.2,0.3,65932,0.24184274970953404,0.2415064005338834,P6_fixed,7,shared,isotonic
3,0.3,0.4,17499,0.334771339104077,0.33516200925767187,P6_fixed,7,shared,isotonic
4,0.4,0.5,1310,0.4316276477182606,0.40076335877862596,P6_fixed,7,shared,isotonic
5,0.5,0.6,145,0.5332636518304087,0.42758620689655175,P6_fixed,7,shared,isotonic
6,0.6,0.7,4,0.6394292880764293,0.5,P6_fixed,7,shared,isotonic
7,0.7,0.8,34,0.7390842944064246,0.5588235294117647,P6_fixed,7,shared,isotonic
8,0.8,0.9,8,0.8181818181818182,0.625,P6_fixed,7,shared,isotonic
9,0.9,1.0,3,0.9932469976893624,0.6666666666666666,P6_fixed,7,shared,isotonic
0,0.0,0.1,33644,0.08498391939237689,0.07802282725002972,P6_fixed,7,split,none
1,0.1,0.2,142103,0.14932444952565252,0.14851199482065824,P6_fixed,7,split,none
2,0.2,0.3,65405,0.23853073657831514,0.25030196468159926,P6_fixed,7,split,none
3,0.3,0.4,12015,0.33494831055873625,0.3451518934665002,P6_fixed,7,split,none
4,0.4,0.5,1596,0.4338851467610888,0.4016290726817043,P6_fixed,7,split,none
5,0.5,0.6,213,0.5366955672206314,0.47417840375586856,P6_fixed,7,split,none
6,0.6,0.7,25,0.6336329206153342,0.44,P6_fixed,7,split,none
7,0.7,0.8,0,,,P6_fixed,7,split,none
8,0.8,0.9,0,,,P6_fixed,7,split,none
9,0.9,1.0,0,,,P6_fixed,7,split,none
0,0.0,0.1,37051,0.08344695710117715,0.07988988151466897,P6_fixed,7,split,platt
1,0.1,0.2,134984,0.14925757721982352,0.14832128252237303,P6_fixed,7,split,platt
2,0.2,0.3,65807,0.23975910230580244,0.24450286443691402,P6_fixed,7,split,platt
3,0.3,0.4,14391,0.3360176941253482,0.33618233618233617,P6_fixed,7,split,platt
4,0.4,0.5,2351,0.43408034981433474,0.3874946831135687,P6_fixed,7,split,platt
5,0.5,0.6,354,0.5356638502519884,0.4265536723163842,P6_fixed,7,split,platt
6,0.6,0.7,62,0.6349946576322616,0.46774193548387094,P6_fixed,7,split,platt
7,0.7,0.8,1,0.7043689431647384,0.0,P6_fixed,7,split,platt
8,0.8,0.9,0,,,P6_fixed,7,split,platt
9,0.9,1.0,0,,,P6_fixed,7,split,platt
0,0.0,0.1,37983,0.07644480408397285,0.08140483900692415,P6_fixed,7,split,isotonic
1,0.1,0.2,131221,0.14878120932218727,0.14739256673855555,P6_fixed,7,split,isotonic
2,0.2,0.3,65136,0.2394740956598522,0.23940677966101695,P6_fixed,7,split,isotonic
3,0.3,0.4,19031,0.3315551336038386,0.3313015606116336,P6_fixed,7,split,isotonic
4,0.4,0.5,1460,0.4541587686348129,0.40273972602739727,P6_fixed,7,split,isotonic
5,0.5,0.6,79,0.5436959103946291,0.3924050632911392,P6_fixed,7,split,isotonic
6,0.6,0.7,61,0.6161819209144312,0.5409836065573771,P6_fixed,7,split,isotonic
7,0.7,0.8,2,0.7221980049314358,0.5,P6_fixed,7,split,isotonic
8,0.8,0.9,18,0.800428681585371,0.5,P6_fixed,7,split,isotonic
9,0.9,1.0,10,0.9972987990757449,0.6,P6_fixed,7,split,isotonic
0,0.0,0.1,38456,0.08201223264325411,0.08123569794050343,P6_clean,7,shared,none
1,0.1,0.2,136646,0.14889229070497068,0.15010318633549463,P6_clean,7,shared,none
2,0.2,0.3,64561,0.23935333187258515,0.24898932792242995,P6_clean,7,shared,none
3,0.3,0.4,13020,0.3356705633954954,0.337173579109063,P6_clean,7,shared,none
4,0.4,0.5,1943,0.43471855640910323,0.3767370046320124,P6_clean,7,shared,none
5,0.5,0.6,322,0.5379010434225557,0.42857142857142855,P6_clean,7,shared,none
6,0.6,0.7,48,0.6317248701076089,0.5833333333333334,P6_clean,7,shared,none
7,0.7,0.8,5,0.746144114020164,0.4,P6_clean,7,shared,none
8,0.8,0.9,0,,,P6_clean,7,shared,none
9,0.9,1.0,0,,,P6_clean,7,shared,none
0,0.0,0.1,35764,0.08258634754253226,0.0806677105469187,P6_clean,7,shared,platt
1,0.1,0.2,136287,0.14933218737458678,0.1476369719782518,P6_clean,7,shared,platt
2,0.2,0.3,66739,0.23976130935255582,0.24597311916570522,P6_clean,7,shared,platt
3,0.3,0.4,13786,0.3359231369356216,0.3357028869867982,P6_clean,7,shared,platt
4,0.4,0.5,2041,0.4351506122285775,0.3821656050955414,P6_clean,7,shared,platt
5,0.5,0.6,326,0.5371443679955716,0.4171779141104294,P6_clean,7,shared,platt
6,0.6,0.7,53,0.6287338371032638,0.6037735849056604,P6_clean,7,shared,platt
7,0.7,0.8,5,0.7391779703285168,0.4,P6_clean,7,shared,platt
8,0.8,0.9,0,,,P6_clean,7,shared,platt
9,0.9,1.0,0,,,P6_clean,7,shared,platt
0,0.0,0.1,32632,0.07530553019182899,0.078818337827899,P6_clean,7,shared,isotonic
1,0.1,0.2,135923,0.14626305976232848,0.14572956747570315,P6_clean,7,shared,isotonic
2,0.2,0.3,70205,0.24309907454627794,0.24239014315219715,P6_clean,7,shared,isotonic
3,0.3,0.4,14363,0.3341914379545147,0.3403188748868621,P6_clean,7,shared,isotonic
4,0.4,0.5,1593,0.416374323453223,0.3691148775894539,P6_clean,7,shared,isotonic
5,0.5,0.6,245,0.5568740121612075,0.40816326530612246,P6_clean,7,shared,isotonic
6,0.6,0.7,26,0.633223792881012,0.5769230769230769,P6_clean,7,shared,isotonic
7,0.7,0.8,12,0.7629785018018267,0.8333333333333334,P6_clean,7,shared,isotonic
8,0.8,0.9,1,0.8007321205756507,1.0,P6_clean,7,shared,isotonic
9,0.9,1.0,1,1.0,1.0,P6_clean,7,shared,isotonic
0,0.0,0.1,37184,0.08277682034691863,0.08057228915662651,P6_clean,7,split,none
1,0.1,0.2,138012,0.14897515792944435,0.14966089905225632,P6_clean,7,split,none
2,0.2,0.3,64965,0.23914897030271626,0.24954975756176404,P6_clean,7,split,none
3,0.3,0.4,12635,0.33531521043167745,0.33842500989315394,P6_clean,7,split,none
