phase_key,arm,calibrator,group,macro_f1_mean,macro_f1_std,macro_f1_count,log_loss_mean,log_loss_std,log_loss_count,roc_auc_mean,roc_auc_std,roc_auc_count,brier_mean,brier_std,brier_count,ece_10_mean,ece_10_std,ece_10_count,calibration_bias_mean,calibration_bias_std,calibration_bias_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,fnr_mean,fnr_std,fnr_count
P6_clean,shared,platt,arrival_missing,0.5712280701754386,,1,0.4429097991283147,,1,0.5769230769230769,,1,0.13753977391475072,,1,0.04381940132760553,,1,0.011906071163885312,,1,0.2727272727272727,,1,0.375,,1,0.625,,1
P6_clean,shared,platt,both_missing,0.2857142857142857,,1,0.5537401040815931,,1,0.25,,1,0.1753807405945677,,1,0.12396742196981947,,1,-0.028356119483481962,,1,0.0,,1,0.0,,1,1.0,,1
P6_clean,shared,platt,both_observed,0.49433878360812755,,1,0.4687593849436367,,1,0.556548110249216,,1,0.1471016965272145,,1,0.005190354591618462,,1,0.005190354591618457,,1,0.1826086956521739,,1,0.2876712328767123,,1,0.7123287671232876,,1
P6_clean,shared,platt,departure_missing,0.5260977630488816,,1,0.47729343420472997,,1,0.4618055555555556,,1,0.14936314165069767,,1,0.004228082561191142,,1,-0.003783809006280947,,1,0.2222222222222222,,1,0.25,,1,0.75,,1
P6_clean,shared,platt,overall,0.5016342191274691,,1,0.4679319822088219,,1,0.5519735063530684,,1,0.14668550579464806,,1,0.006291083573968317,,1,0.004697426667892884,,1,0.1897810218978102,,1,0.28888888888888886,,1,0.7111111111111111,,1
P6_clean,split,isotonic,arrival_missing,0.5366922234392114,,1,0.4316202717426775,,1,0.6490384615384616,,1,0.13723283683955828,,1,0.03496768584419916,,1,0.025126607140536605,,1,0.3333333333333333,,1,0.125,,1,0.875,,1
P6_clean,split,isotonic,both_missing,0.375,,1,0.6253058334679656,,1,0.25,,1,0.19898443472088373,,1,0.3385618134650688,,1,-0.01699374209048679,,1,0.0,,1,0.0,,1,1.0,,1
P6_clean,split,isotonic,both_observed,0.4992754682867816,,1,0.9494478028444432,,1,0.6009448753919789,,1,0.14865256858668963,,1,0.05699013242743947,,1,0.014312373863812677,,1,0.20588235294117646,,1,0.0958904109589041,,1,0.9041095890410958,,1
P6_clean,split,isotonic,departure_missing,0.4430379746835443,,1,1.2639758363736258,,1,0.45138888888888884,,1,0.1618172078480082,,1,0.11891718493756906,,1,-0.00815481315450442,,1,0.0,,1,0.0,,1,1.0,,1
P6_clean,split,isotonic,overall,0.4972961453421775,,1,0.9252574428975742,,1,0.5884698567180319,,1,0.1492397463632441,,1,0.06235057245457722,,1,0.013041280361674068,,1,0.20512820512820512,,1,0.08888888888888889,,1,0.9111111111111111,,1
P6_clean,split,none,arrival_missing,0.48231884057971014,,1,0.446874543911202,,1,0.5769230769230769,,1,0.13986057783088754,,1,0.06763554828266755,,1,0.012836128782912348,,1,0.17647058823529413,,1,0.375,,1,0.625,,1
P6_clean,split,none,both_missing,0.2857142857142857,,1,0.6292716476535509,,1,0.25,,1,0.19122894464048548,,1,0.28913722472261927,,1,-0.04217748221164461,,1,0.0,,1,0.0,,1,1.0,,1
P6_clean,split,none,both_observed,0.5235294117647059,,1,0.4693969478597605,,1,0.5722272652252847,,1,0.14763841205293485,,1,0.02073287776138906,,1,-0.003525677032250374,,1,0.21649484536082475,,1,0.2876712328767123,,1,0.7123287671232876,,1
