phase_key,dimension,group,n_mean,n_std,positive_rate_mean,positive_rate_std,macro_f1_mean,macro_f1_std,log_loss_mean,log_loss_std,roc_auc_mean,roc_auc_std,brier_mean,brier_std,ece_10_mean,ece_10_std,calibration_bias_mean,calibration_bias_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,fnr_mean,fnr_std,error_rate_mean,error_rate_std
P6_clean,raw_missing__Tail_Number,observed,255001.0,0.0,0.17646989619648554,0.0,0.5756847605700698,0.0010749176024492954,0.4475767841443325,0.0003045922518500381,0.6428037457317223,0.0013259179039457436,0.13990387798937332,9.690689802487389e-05,0.004588385887189622,0.0008480738834729213,-0.002189392768380418,0.00023926541069434768,0.2919772620372345,0.002461075177056199,0.33625185185185186,0.009403606697966544,0.17476107256632112,0.006440467966749287,0.6637481481481481,0.009403606697966516,0.2610525710356691,0.003723564542996705
P6_clean,raw_missing_count,0,113787.0,0.0,0.17523091390053344,0.0,0.5756741322974068,0.0008014972362469687,0.4457659289784712,0.0002975739745154102,0.6427587308219572,0.001056027343825436,0.1391501650876572,9.995835740457534e-05,0.004505796399824674,0.0008648367395465274,-0.000663294200422058,0.0002593806005370566,0.28965719287541464,0.0024045531007097116,0.3414748315696207,0.009413049593345959,0.17796152643991703,0.006744977335257468,0.6585251684303793,0.00941304959334598,0.2621711326132745,0.003951888926842758
P6_clean,raw_missing_count,1,97322.0,0.0,0.17865436386428557,0.0,0.5753150125375026,0.0015811005857856895,0.450746921117271,0.00024878878899637437,0.6428437288307044,0.001315532957473977,0.1412065640270088,5.8033813523730496e-05,0.005533561635428583,0.0004759549007377886,-0.004086794854908389,0.00025299868255368744,0.2932062228248414,0.0011719037378912084,0.337991986349955,0.011440032861431724,0.17721482037488792,0.005730970855355067,0.6620080136500451,0.011440032861431727,0.2638252399251968,0.0027113015127268004
P6_clean,raw_missing_count,2,35730.0,0.0,0.1743073047858942,0.0,0.5753981880835726,0.0029422962529030293,0.4442364781243002,0.0006979460765315729,0.6441287981288649,0.0032583619271570404,0.13859858194233776,0.00022283206243012556,0.0054163597595422,0.0005910886220821092,-0.0014530217469770994,0.0002333046312764784,0.2926502364774602,0.006418230416131222,0.32070220509526864,0.006585783066727065,0.1637516100603349,0.00755668127216181,0.6792977949047314,0.0065857830667270315,0.25361507603321204,0.005342740898861722
P6_clean,raw_missing_count,3,7245.0,0.0,0.17598343685300208,0.0,0.5807011362566281,0.005516334448233035,0.44753018246085635,0.0012047823861357626,0.6388258503848218,0.0036432366457300135,0.13977259557373725,0.00036990905003242674,0.0067227757458510895,0.0004587758752438189,-0.002765420894196874,0.00014812307650013072,0.3070165885401445,0.011077156107445503,0.31529411764705884,0.004366874010062741,0.15214963707426019,0.007357483600236343,0.6847058823529412,0.004366874010062689,0.24587071543593284,0.006262092288390247
P6_clean,raw_missing_count,4,848.0,0.0,0.18985849056603774,0.0,0.575900130383986,0.015242757893624772,0.471502127432305,0.0018377639577267036,0.6263060505513515,0.009382463592729746,0.14920668556060443,0.0004815743267023606,0.024033309691166235,0.0028847497309779737,-0.017102202595267207,0.0007885927084197911,0.33208142493638676,0.034162008003396915,0.2712215320910973,0.01292960248115608,0.12857836001940806,0.013834621474413632,0.7287784679089028,0.01292960248115612,0.24253144654088052,0.013565592709699223
P6_clean,raw_missing_count,5,66.0,0.0,0.15151515151515152,0.0,0.6123380522767284,0.05038565356994822,0.4106944062635756,0.0025677721002387364,0.6398809523809523,0.0213042025811587,0.12423509734760689,0.001083420501964613,0.06492763841330093,0.005570890948682736,0.011306359118986744,0.0021605832205921,0.36838624338624343,0.07957149084335956,0.3,0.09999999999999998,0.08928571428571429,0.0,0.7000000000000001,0.10000000000000007,0.1818181818181818,0.015151515151515142
P6_clean,raw_missing_count,6,3.0,0.0,0.0,0.0,0.4666666666666666,0.05773502691896256,0.2342485848134345,0.04820140158948694,,,0.045719530199309466,0.01852862243268314,0.20678340664334327,0.0354450547259875,0.20678340664334327,0.035445054725987496,0.0,,,,0.1111111111111111,0.19245008972987526,,,0.1111111111111111,0.19245008972987526
P6_clean,raw_time_pattern,arrival_missing,24653.0,0.0,0.17758487810814097,0.0,0.5812884025316052,0.0018745218132951397,0.44789752527348087,0.00021071903686795278,0.646940999133094,0.001032248200860154,0.14012604630377046,8.371236161406737e-05,0.00660770786687867,0.0017297018744082539,-0.002580162827243687,0.00037243895192764115,0.30090371992290166,0.0031274101335621884,0.34947464595705807,0.011577273547258259,0.17535552815454172,0.006969984207485852,0.650525354042942,0.011577273547258288,0.25973850376559987,0.003890949608360525
P6_clean,raw_time_pattern,both_missing,3031.0,0.0,0.17123061695809963,0.0,0.508515716511042,0.003874805157158843,0.45444104706612687,0.0008390291720913305,0.5760432135128392,0.008470671918362696,0.14106537156672064,0.00020111091857980513,0.008982160580789027,0.0013500251694474124,-0.0022980089284077576,0.00021017379245494435,0.22509576739308682,0.010387719052689023,0.10019267822736029,0.005780346820809246,0.07125796178343949,0.0024860660821649657,0.8998073217726397,0.005780346820809273,0.21313097987462884,0.002060375453117255
