seed,dimension,group,macro_f1,log_loss,roc_auc,brier,ece_10,calibration_bias,precision,recall,fpr,fnr,error_rate
42,raw_missing__Origin_Airport,observed,0.01827530009734052,-0.0015294934931820436,0.015382535820492094,-0.00032377192632640495,-0.015099772306549325,0.0023413663618217506,0.01390268123138036,-0.07777777777777778,-0.09489051094890513,0.07777777777777783,-0.06387225548902192
42,raw_missing__Origin_Airport,missing,,,,,,,,,,,
42,raw_missing__Origin_Airport_ID,observed,0.01827530009734052,-0.0015294934931820436,0.015382535820492094,-0.00032377192632640495,-0.015099772306549325,0.0023413663618217506,0.01390268123138036,-0.07777777777777778,-0.09489051094890513,0.07777777777777783,-0.06387225548902192
42,raw_missing__Origin_Airport_ID,missing,,,,,,,,,,,
42,raw_missing__Origin_State,observed,0.015408441027011333,-0.002664818360450405,0.0232643280303535,-0.00027325805913477885,-0.01238059606586885,0.002712613623670007,0.010869565217391297,-0.0963855421686747,-0.10497237569060772,0.09638554216867479,-0.06741573033707865
42,raw_missing__Origin_State,missing,0.05860805860805862,0.007492284469932553,-0.0699708454810497,-0.0007251767638313533,0.0163390952093615,-0.0006087234867940272,0.07142857142857142,0.14285714285714285,-0.020408163265306145,-0.1428571428571428,-0.035714285714285754
42,raw_missing__Destination_Airport,observed,0.01827530009734052,-0.0015294934931820436,0.015382535820492094,-0.00032377192632640495,-0.015099772306549325,0.0023413663618217506,0.01390268123138036,-0.07777777777777778,-0.09489051094890513,0.07777777777777783,-0.06387225548902192
42,raw_missing__Destination_Airport,missing,,,,,,,,,,,
42,raw_missing__Destination_Airport_ID,observed,0.01827530009734052,-0.0015294934931820436,0.015382535820492094,-0.00032377192632640495,-0.015099772306549325,0.0023413663618217506,0.01390268123138036,-0.07777777777777778,-0.09489051094890513,0.07777777777777783,-0.06387225548902192
42,raw_missing__Destination_Airport_ID,missing,,,,,,,,,,,
42,raw_missing__Destination_State,observed,0.016160919809456553,-0.0004074084295460634,0.007854278074866383,-8.404827776647972e-05,-0.014256335556341596,0.001662864576444295,0.010866306954436439,-0.08750000000000002,-0.0962566844919786,0.08749999999999991,-0.06387665198237891
42,raw_missing__Destination_State,missing,0.03873818705416987,-0.012368357724899415,0.09729729729729736,-0.0026394003613525174,-0.01053704176325776,0.008895404884403851,0.046153846153846156,0.0,-0.08108108108108109,0.0,-0.06382978723404253
42,raw_missing__Distance,observed,0.01827530009734052,-0.0015294934931820436,0.015382535820492094,-0.00032377192632640495,-0.015099772306549325,0.0023413663618217506,0.01390268123138036,-0.07777777777777778,-0.09489051094890513,0.07777777777777783,-0.06387225548902192
42,raw_missing__Distance,missing,,,,,,,,,,,
42,raw_missing__Airline,observed,0.019069913182144127,-0.0031672298896584516,0.020290315744861176,-0.0008579377143142497,-0.022332112212791005,0.0017623356358077436,0.015560495395363583,-0.07692307692307696,-0.09366391184573,0.07692307692307687,-0.06349206349206349
42,raw_missing__Airline,missing,0.012499999999999956,0.010507869020919602,0.00347222222222221,0.003602346615384028,0.03142449440642067,0.0065972421980248774,0.0,-0.08333333333333334,-0.10416666666666666,0.08333333333333337,-0.06666666666666671
