bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,dimension,group
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
0,0.0,0.1,30278,0.08510789027388256,0.07995904617213818,P6_fixed,42,raw_missing__Origin_State,observed
1,0.1,0.2,126418,0.14919648284299006,0.14830166590200763,P6_fixed,42,raw_missing__Origin_State,observed
2,0.2,0.3,58154,0.23816090307937007,0.25083399250266536,P6_fixed,42,raw_missing__Origin_State,observed
3,0.3,0.4,10647,0.3352452666054788,0.3440405748098056,P6_fixed,42,raw_missing__Origin_State,observed
4,0.4,0.5,1434,0.43397891452273213,0.40794979079497906,P6_fixed,42,raw_missing__Origin_State,observed
5,0.5,0.6,196,0.5330639128036596,0.45408163265306123,P6_fixed,42,raw_missing__Origin_State,observed
6,0.6,0.7,16,0.6307129428228023,0.1875,P6_fixed,42,raw_missing__Origin_State,observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,raw_missing__Origin_State,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Origin_State,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Origin_State,observed
0,0.0,0.1,3714,0.08547878706577572,0.07781367797522887,P6_fixed,42,raw_missing__Origin_State,missing
1,0.1,0.2,15424,0.14930851832885927,0.143801867219917,P6_fixed,42,raw_missing__Origin_State,missing
2,0.2,0.3,7246,0.23785113802212804,0.2622136351090257,P6_fixed,42,raw_missing__Origin_State,missing
3,0.3,0.4,1274,0.3346662828904616,0.3249607535321821,P6_fixed,42,raw_missing__Origin_State,missing
4,0.4,0.5,163,0.43357916354562087,0.39263803680981596,P6_fixed,42,raw_missing__Origin_State,missing
5,0.5,0.6,33,0.5277599096287714,0.5454545454545454,P6_fixed,42,raw_missing__Origin_State,missing
6,0.6,0.7,2,0.6055714531718528,0.0,P6_fixed,42,raw_missing__Origin_State,missing
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Origin_State,missing
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Origin_State,missing
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Origin_State,missing
0,0.0,0.1,33992,0.0851484148292218,0.07972464109202165,P6_fixed,42,raw_missing__Destination_Airport,observed
1,0.1,0.2,141842,0.14920866566143628,0.1478123545917288,P6_fixed,42,raw_missing__Destination_Airport,observed
2,0.2,0.3,65400,0.23812658262669767,0.25209480122324157,P6_fixed,42,raw_missing__Destination_Airport,observed
3,0.3,0.4,11921,0.33518339048326323,0.34200150994044126,P6_fixed,42,raw_missing__Destination_Airport,observed
4,0.4,0.5,1597,0.43393811338981475,0.406386975579211,P6_fixed,42,raw_missing__Destination_Airport,observed
5,0.5,0.6,229,0.5322995804684137,0.4672489082969432,P6_fixed,42,raw_missing__Destination_Airport,observed
6,0.6,0.7,18,0.6279194439726967,0.16666666666666666,P6_fixed,42,raw_missing__Destination_Airport,observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,raw_missing__Destination_Airport,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Destination_Airport,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Destination_Airport,observed
0,0.0,0.1,33992,0.0851484148292218,0.07972464109202165,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
1,0.1,0.2,141842,0.14920866566143628,0.1478123545917288,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
2,0.2,0.3,65400,0.23812658262669767,0.25209480122324157,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
3,0.3,0.4,11921,0.33518339048326323,0.34200150994044126,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
4,0.4,0.5,1597,0.43393811338981475,0.406386975579211,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
5,0.5,0.6,229,0.5322995804684137,0.4672489082969432,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
6,0.6,0.7,18,0.6279194439726967,0.16666666666666666,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
0,0.0,0.1,30270,0.0851318576470113,0.07994714238519987,P6_fixed,42,raw_missing__Destination_State,observed
1,0.1,0.2,126531,0.1491993803662612,0.1481376105460322,P6_fixed,42,raw_missing__Destination_State,observed
2,0.2,0.3,58231,0.23812682520538947,0.25199635932750597,P6_fixed,42,raw_missing__Destination_State,observed
3,0.3,0.4,10653,0.33506894798911196,0.3419693982915611,P6_fixed,42,raw_missing__Destination_State,observed
4,0.4,0.5,1417,0.43389903998057194,0.40296400846859565,P6_fixed,42,raw_missing__Destination_State,observed
5,0.5,0.6,204,0.5316141307153593,0.45588235294117646,P6_fixed,42,raw_missing__Destination_State,observed
6,0.6,0.7,15,0.6252846949855442,0.13333333333333333,P6_fixed,42,raw_missing__Destination_State,observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,raw_missing__Destination_State,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Destination_State,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Destination_State,observed
0,0.0,0.1,3722,0.08528306982801584,0.07791509940891994,P6_fixed,42,raw_missing__Destination_State,missing
1,0.1,0.2,15311,0.14928539988413875,0.14512442035138137,P6_fixed,42,raw_missing__Destination_State,missing
2,0.2,0.3,7169,0.23812461225428844,0.2528944064723113,P6_fixed,42,raw_missing__Destination_State,missing
3,0.3,0.4,1268,0.33614486989193365,0.3422712933753943,P6_fixed,42,raw_missing__Destination_State,missing
4,0.4,0.5,180,0.4342457079503542,0.43333333333333335,P6_fixed,42,raw_missing__Destination_State,missing
5,0.5,0.6,25,0.5378928504533372,0.56,P6_fixed,42,raw_missing__Destination_State,missing
6,0.6,0.7,3,0.6410931889084589,0.3333333333333333,P6_fixed,42,raw_missing__Destination_State,missing
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Destination_State,missing
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Destination_State,missing
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Destination_State,missing
0,0.0,0.1,33992,0.0851484148292218,0.07972464109202165,P6_fixed,42,raw_missing__Distance,observed
1,0.1,0.2,141842,0.14920866566143628,0.1478123545917288,P6_fixed,42,raw_missing__Distance,observed
2,0.2,0.3,65400,0.23812658262669767,0.25209480122324157,P6_fixed,42,raw_missing__Distance,observed
3,0.3,0.4,11921,0.33518339048326323,0.34200150994044126,P6_fixed,42,raw_missing__Distance,observed
4,0.4,0.5,1597,0.43393811338981475,0.406386975579211,P6_fixed,42,raw_missing__Distance,observed
5,0.5,0.6,229,0.5322995804684137,0.4672489082969432,P6_fixed,42,raw_missing__Distance,observed
6,0.6,0.7,18,0.6279194439726967,0.16666666666666666,P6_fixed,42,raw_missing__Distance,observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,raw_missing__Distance,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Distance,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Distance,observed
0,0.0,0.1,30407,0.08515229371582839,0.08037622915775973,P6_fixed,42,raw_missing__Airline,observed
