phase_key,arm,calibrator,group,brier_mean,brier_std,brier_count,ece_10_mean,ece_10_std,ece_10_count,log_loss_mean,log_loss_std,log_loss_count,macro_f1_mean,macro_f1_std,macro_f1_count,roc_auc_mean,roc_auc_std,roc_auc_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,calibration_bias_mean,calibration_bias_std,calibration_bias_count,n_mean,n_std,n_count
P6_fixed,shared,isotonic,both_missing,0.14151393341428006,0.00021446401819079141,3,0.0158038845287802,0.0025383633496559315,3,0.4560281034403197,0.0007653062666506577,3,0.5078477112822087,0.0027315651082062482,3,0.566279290363225,0.0036250299243202563,3,0.0950545921644187,0.008021834294667156,3,0.23131228020354389,0.0019755287693153365,3,-0.004895561161604966,0.0015197516764454283,3,3031.0,0.0,3
P6_fixed,shared,isotonic,both_observed,0.13979176861174253,0.00016877661712262648,3,0.0015992078953634,0.0004772463217653012,3,0.44841604646416583,0.0008102888784033989,3,0.5758181614520327,0.0017084475594138472,3,0.642754321607537,0.0016653421994170055,3,0.34512241792911613,0.01657225804530995,3,0.29052016518986074,0.0033984806062883257,3,8.231976085431241e-05,0.00020466622849466118,3,202507.0,0.0,3
P6_fixed,shared,isotonic,departure_missing,0.1405503307896686,0.0002899751634089665,3,0.005409479180725633,0.0017882338293134141,3,0.4492409479250275,0.001638654064912016,3,0.5738735431370455,0.0012417117953394837,3,0.6417946282739321,0.0031563594527329983,3,0.3382665452337583,0.01496913815403013,3,0.2888887501464035,0.0018226267241413133,3,-0.0008987851562123334,0.0004286046103617545,3,24810.0,0.0,3
P6_fixed,shared,isotonic,overall,0.13991990556967124,0.00017264039206258512,3,0.0015708373482680334,0.0006102202994173031,3,0.4485440861556745,0.000822988324975723,3,0.5756529381275516,0.0015085908098453498,3,0.6421481316579268,0.001664716318392525,3,0.34259259259259256,0.015975387448047308,3,0.2908009878605495,0.0031404352512585366,3,-9.198427809503332e-05,0.00020976853914365243,3,255001.0,0.0,3
P6_fixed,shared,none,arrival_missing,0.1402208638902219,0.00019402101359794057,3,0.006729863311222333,0.001063584219468745,3,0.44822900570443963,0.0005291541392538437,3,0.5803031696934028,0.001168888160925789,3,0.6457594571519932,0.0014845066446823698,3,0.35716461093345514,0.0062734420755640435,3,0.2975173285007045,0.0013321865081332913,3,-0.0022621315385534,0.00031441940362789676,3,24653.0,0.0,3
P6_fixed,shared,none,both_missing,0.141249089966603,0.0002941772152336121,3,0.013425840131146635,0.0011079322820617922,3,0.45511268350011674,0.001077515817080014,3,0.5068980417569794,0.003477298778264781,3,0.5702410063039735,0.00778188092604896,3,0.09312780989081564,0.0029432085388283948,3,0.22967442428684862,0.013560048493884657,3,-0.005428372536844966,0.000783036949565638,3,3031.0,0.0,3
P6_fixed,shared,none,both_observed,0.13977696956893096,0.00013596114700557526,3,0.004798195496448633,0.0007906537534352485,3,0.44723153718360126,0.00041137081350529236,3,0.5762912739629563,0.0018618683080587955,3,0.6433947470702418,0.0015058685495996373,3,0.3470919324577861,0.002370149698356158,3,0.2908284183390017,0.002936332013936317,3,-0.0019015946359919,0.0002284421838695335,3,202507.0,0.0,3
P6_fixed,shared,none,departure_missing,0.14060207643315314,0.0002024545469196582,3,0.009150057367748732,0.0023268109141352604,3,0.44902903074728484,0.0005754375116591285,3,0.5738965015160691,0.0005977654535837219,3,0.6422427161814138,0.0030529130213670635,3,0.3394808743169399,0.0045480383322946336,3,0.2885785257833992,0.00028617278246657836,3,-0.0030352192925763,0.00044138808649520116,3,24810.0,0.0,3
P6_fixed,shared,none,overall,0.13991766009535825,0.00014405368510824298,3,0.0050680242204649,0.0006394835541512475,3,0.4475965324630102,0.00042018623569935014,3,0.5760619473941054,0.0014910716751659794,3,0.6427575399200038,0.001521695799563974,3,0.3444,0.002176076432935064,3,0.2910266868156773,0.0023570123032458736,3,-0.0020886653055429663,0.00021317169027051973,3,255001.0,0.0,3
P6_fixed,shared,platt,arrival_missing,0.1401775563984643,0.0002063754422686341,3,0.0049253046906676335,0.001142847197832654,3,0.44808967044308096,0.0005666162908108303,3,0.5798372804016241,0.0017664061804669622,3,0.6458026052994111,0.0014443236057363447,3,0.3545759098522918,0.014576253154518016,3,0.29724459700337136,0.0019278017647786343,3,-0.0002194558001985,0.0004158493447564224,3,24653.0,0.0,3
P6_fixed,shared,platt,both_missing,0.1413107254178881,0.00034529526097470687,3,0.012154573987532967,0.0018125093080730548,3,0.4552582189670377,0.0012353324713537627,3,0.5055653321320872,0.0006004245961697315,3,0.5699423755057292,0.008361752171344548,3,0.09184328837508027,0.004010917147333571,3,0.2251687444959329,0.006866428107785608,3,-0.004283757857634434,0.0004841237977564672,3,3031.0,0.0,3
P6_fixed,shared,platt,both_observed,0.13976510341090143,0.0001418904433126283,3,0.0031260454538089336,1.2570637881102819e-05,3,0.4471691370365896,0.0004394210222001783,3,0.575966917004657,0.001633721189749674,3,0.6433898675994514,0.001503222023429131,3,0.3449450682796151,0.010109563485664313,3,0.290724282679667,0.003455755550829863,3,0.0001082650696397879,0.00019428889716180194,3,202507.0,0.0,3
P6_fixed,shared,platt,departure_missing,0.14060215861488537,0.00020940080361907707,3,0.007535433012633434,0.0025646780863250143,3,0.4489645902238184,0.0006226644984604153,3,0.5740492494472099,0.0021246576216798403,3,0.6422130240570736,0.003049304401265952,3,0.3400880388585306,0.012091714620120994,3,0.2888358739960621,0.003515298578026882,3,-0.0010623902766387333,0.0004238514658390309,3,24810.0,0.0,3
P6_fixed,shared,platt,overall,0.13990479040591877,0.00014975071703263865,3,0.0032592151799168668,0.0003727624483307692,3,0.4475289674332413,0.00044746074962792695,3,0.5757560621295507,0.001568007224648665,3,0.642753588545522,0.001517020457699718,3,0.34248888888888884,0.010544602504376777,3,0.2909203197474715,0.0032407749708458504,3,-8.9520363507e-05,0.00018911319746202528,3,255001.0,0.0,3
P6_fixed,split,isotonic,arrival_missing,0.14023672542976715,0.00023484370135417215,3,0.0029663892209287,0.0019595652209003583,3,0.4486900364180033,0.0013454772075240547,3,0.5797306291825081,0.0014119259822173678,3,0.6448144113310265,0.0011100155852308508,3,0.362418151362875,0.019422422741326387,3,0.2959845250218515,0.005423556116550662,3,-4.85380912372922e-05,0.0005371620547483735,3,24653.0,0.0,3
P6_fixed,split,isotonic,both_missing,0.141426452991699,0.00016715483238401095,3,0.014487536620585,0.0026922293013533615,3,0.45577497311461435,0.0005067181898526072,3,0.510850021694949,0.006159236653773034,3,0.5667232735662654,0.0033469134392921825,3,0.10340398201669872,0.013533273927877608,3,0.23149169750910317,0.00784302598518043,3,-0.0043440389111360665,0.0016571801835188803,3,3031.0,0.0,3
P6_fixed,split,isotonic,both_observed,0.13984533320246975,0.00018270459916275338,3,0.0023323172878807,0.00020277811871851514,3,0.44957661966856605,0.0011081273303046703,3,0.5756042539580037,0.0023267266317855513,3,0.6424253025290972,0.0017313860358874624,3,0.35093761959433595,0.015167637057679383,3,0.28930016671730036,0.006238638263329311,3,0.00016484844716345957,0.00036665447391839124,3,202507.0,0.0,3
P6_fixed,split,isotonic,departure_missing,0.14057387559051368,0.0002874668230235779,3,0.005335374797273234,0.0023876564244032783,3,0.4492705446563532,0.00165495115965244,3,0.5732517585732319,0.001110900816526338,3,0.6420872005206545,0.00314368136610438,3,0.3451730418943533,0.01741617250206108,3,0.286748608567264,0.0041204334768306155,3,-0.0008161312757426999,0.0005660948485543947,3,24810.0,0.0,3
