phase_key,arm,calibrator,group,brier_mean,brier_std,brier_count,ece_10_mean,ece_10_std,ece_10_count,log_loss_mean,log_loss_std,log_loss_count,macro_f1_mean,macro_f1_std,macro_f1_count,roc_auc_mean,roc_auc_std,roc_auc_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,calibration_bias_mean,calibration_bias_std,calibration_bias_count
P6_fixed,shared,platt,departure_missing,0.0005264724209189109,,1,-0.0338866020391198,,1,0.001473152070535666,,1,0.04374482187241108,,1,-0.02430555555555558,,1,0.0,,1,0.05555555555555561,,1,0.0167285025221365,,1
P6_fixed,shared,platt,overall,-0.0010115750525176992,,1,-0.0335012794169488,,1,-0.0032531011834116552,,1,0.016224215284997123,,1,-0.000783995674506599,,1,0.0222222222222222,,1,0.018492176386913278,,1,0.0099449168640263,,1
P6_fixed,split,isotonic,arrival_missing,0.011314745508413021,,1,0.05679941985760151,,1,0.7351735525208918,,1,-0.0164097496706192,,1,-0.08493589743589752,,1,-0.125,,1,-0.03361344537815131,,1,0.017072325300525,,1
P6_fixed,split,isotonic,both_missing,-0.007157811042225903,,1,-0.016148535196824493,,1,-0.028152518566331275,,1,-0.06944444444444442,,1,0.25,,1,0.0,,1,,,0,0.0586150364940143,,1
P6_fixed,split,isotonic,both_observed,0.0016380894340859153,,1,0.013072406385207402,,1,0.566154798577909,,1,0.01466832895531256,,1,0.016999504868790316,,1,-0.0136986301369863,,1,0.016025641025640996,,1,0.0230048277113875,,1
P6_fixed,split,isotonic,departure_missing,0.011582064931347696,,1,0.019215118160631407,,1,0.7692972821511737,,1,-0.1162858155799788,,1,-0.11979166666666663,,1,-0.25,,1,-0.1818181818181818,,1,0.0275857016444188,,1
P6_fixed,split,isotonic,overall,0.0033314192843680035,,1,0.024515300232850798,,1,0.5939204954378343,,1,-0.0004835979948218938,,1,-0.00025682616923494717,,1,-0.0444444444444444,,1,-0.004687500000000011,,1,0.0232059891558106,,1
P6_fixed,split,platt,arrival_missing,-0.0008291257806311014,,1,0.0232835838789633,,1,0.00343652793862248,,1,0.04003888299752567,,1,-0.1538461538461539,,1,-0.25,,1,0.0735294117647059,,1,0.0119836328805767,,1
P6_fixed,split,platt,both_missing,-0.013241857259046919,,1,0.008453248845557912,,1,-0.04648224000162515,,1,0.0,,1,0.5,,1,0.0,,1,,,0,0.0391894649066398,,1
P6_fixed,split,platt,both_observed,3.642685949281632e-05,,1,-0.0283595452453679,,1,0.001346575763776725,,1,-0.023260773670553125,,1,-0.04736755240138646,,1,-0.2191780821917808,,1,-0.04186289900575618,,1,0.016530311263619202,,1
P6_fixed,split,platt,departure_missing,0.00016906506976949176,,1,-0.0321020114525604,,1,-0.0007860660071234982,,1,0.05215044299712496,,1,0.00694444444444442,,1,-0.125,,1,0.31818181818181823,,1,0.0295369422718013,,1
P6_fixed,split,platt,overall,-0.00016564163038010338,,1,-0.015023975422229302,,1,0.0008780077707051803,,1,-0.01198294416339929,,1,-0.05074344417410104,,1,-0.21111111111111108,,1,-0.018181818181818216,,1,0.017472214753783098,,1
