phase_key,seed,dimension,group,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_fixed,42,raw_time_pattern,departure_missing,24810,4392,0.17702539298669892,0.17385262367113624,-0.003172769315562679,0.5736748703566878,0.4484429696501189,0.6457598297138083,0.14043456352435776,0.011309509079144993,16751.0,3667.0,2906.0,1486.0,0.2883757034737046,0.3383424408014572,0.17959643451856205,0.6616575591985429,0.26493349455864573
P6_fixed,42,raw_time_pattern,arrival_missing,24653,4378,0.177584878108141,0.17506154949374328,-0.0025233286143977185,0.579038999731366,0.44813619148023104,0.6460985794345566,0.14018045657140113,0.007771059698200053,16638.0,3637.0,2845.0,1533.0,0.2965183752417795,0.3501598903608954,0.179383477188656,0.6498401096391047,0.2629294609175354
P6_fixed,42,raw_time_pattern,both_missing,3031,519,0.17123061695809963,0.16627588116148484,-0.00495473579661479,0.5041650911624904,0.4562540253467148,0.5617816753187781,0.14156770070764688,0.014686753072069477,2345.0,167.0,472.0,47.0,0.21962616822429906,0.0905587668593449,0.06648089171974522,0.9094412331406551,0.21082151105245794
P6_clean,42,overall,all,255001,45000,0.1764698961964855,0.17448527446651846,-0.001984621729967051,0.5769259579486619,0.4472250784831184,0.6443165863231339,0.1397929100396355,0.00552735498920834,173448.0,36553.0,29789.0,15211.0,0.2938528707209644,0.3380222222222222,0.17406107589963857,0.6619777777777778,0.26016368563260533
P6_clean,42,raw_missing__Month,observed,255001,45000,0.1764698961964855,0.17448527446651846,-0.001984621729967051,0.5769259579486619,0.4472250784831184,0.6443165863231339,0.1397929100396355,0.00552735498920834,173448.0,36553.0,29789.0,15211.0,0.2938528707209644,0.3380222222222222,0.17406107589963857,0.6619777777777778,0.26016368563260533
P6_clean,42,raw_missing__Month,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,raw_missing__Day_of_Month,observed,255001,45000,0.1764698961964855,0.17448527446651846,-0.001984621729967051,0.5769259579486619,0.4472250784831184,0.6443165863231339,0.1397929100396355,0.00552735498920834,173448.0,36553.0,29789.0,15211.0,0.2938528707209644,0.3380222222222222,0.17406107589963857,0.6619777777777778,0.26016368563260533
P6_clean,42,raw_missing__Day_of_Month,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,raw_missing__Estimated_Departure_Time,observed,227160,40089,0.17647913365029055,0.17458763736169908,-0.0018914962885914766,0.5773904014799314,0.4470220895277682,0.6449505715337095,0.13971667137083504,0.00531030530532614,154197.0,32874.0,26398.0,13691.0,0.29401911306775474,0.3415151288383347,0.17573007040107766,0.6584848711616653,0.2609262194048248
P6_clean,42,raw_missing__Estimated_Departure_Time,missing,27841,4911,0.1763945260586904,0.17365007618810788,-0.0027444498705825326,0.5727766316329208,0.44888130387363495,0.6392164922893088,0.14041495579965518,0.008210975299584998,19251.0,3679.0,3391.0,1520.0,0.2923639161377188,0.30950926491549585,0.16044483209768862,0.6904907350845042,0.2539420279443986
P6_clean,42,raw_missing__Estimated_Arrival_Time,observed,227317,40103,0.17641883361121252,0.1744662994205566,-0.0019525341906559135,0.5766749149150024,0.44706613484193974,0.6447250292023353,0.1397426495297172,0.005460122005735782,154347.0,32867.0,26482.0,13621.0,0.29300034417484083,0.33965040021943493,0.175558451825184,0.6603495997805651,0.2610847406925131
P6_clean,42,raw_missing__Estimated_Arrival_Time,missing,27684,4897,0.17688917786447045,0.17464108108849896,-0.0022480967759714865,0.5789313251150059,0.44853018582605336,0.6408042046551286,0.14020560576038002,0.006180015715430921,19101.0,3686.0,3307.0,1590.0,0.30136467020470054,0.32468858484786606,0.16175889761706236,0.675311415152134,0.25260078023407023
P6_clean,42,raw_missing__Cancelled,observed,255001,45000,0.1764698961964855,0.17448527446651846,-0.001984621729967051,0.5769259579486619,0.4472250784831184,0.6443165863231339,0.1397929100396355,0.00552735498920834,173448.0,36553.0,29789.0,15211.0,0.2938528707209644,0.3380222222222222,0.17406107589963857,0.6619777777777778,0.26016368563260533
P6_clean,42,raw_missing__Cancelled,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,raw_missing__Diverted,observed,255001,45000,0.1764698961964855,0.17448527446651846,-0.001984621729967051,0.5769259579486619,0.4472250784831184,0.6443165863231339,0.1397929100396355,0.00552735498920834,173448.0,36553.0,29789.0,15211.0,0.2938528707209644,0.3380222222222222,0.17406107589963857,0.6619777777777778,0.26016368563260533
P6_clean,42,raw_missing__Diverted,missing,0,0,,,,,,,,,,,,,,,,,
P6_clean,42,raw_missing__Origin_Airport,observed,255001,45000,0.1764698961964855,0.17448527446651846,-0.001984621729967051,0.5769259579486619,0.4472250784831184,0.6443165863231339,0.1397929100396355,0.00552735498920834,173448.0,36553.0,29789.0,15211.0,0.2938528707209644,0.3380222222222222,0.17406107589963857,0.6619777777777778,0.26016368563260533
P6_clean,42,raw_missing__Origin_Airport,missing,0,0,,,,,,,,,,,,,,,,,
