phase_key,seed,dimension,group,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_fixed,42,raw_missing__Origin_Airport,observed,501,90,0.17964071856287425,0.1734031617182951,-0.006237556844579162,0.4933340582862114,0.472868387837965,0.5422681805893484,0.1482470346868548,0.03942414363060104,287.0,124.0,62.0,28.0,0.18421052631578946,0.3111111111111111,0.30170316301703165,0.6888888888888889,0.3712574850299401
P6_fixed,42,raw_missing__Origin_Airport,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,raw_missing__Origin_Airport_ID,observed,501,90,0.17964071856287425,0.1734031617182951,-0.006237556844579162,0.4933340582862114,0.472868387837965,0.5422681805893484,0.1482470346868548,0.03942414363060104,287.0,124.0,62.0,28.0,0.18421052631578946,0.3111111111111111,0.30170316301703165,0.6888888888888889,0.3712574850299401
P6_fixed,42,raw_missing__Origin_Airport_ID,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,raw_missing__Origin_State,observed,445,83,0.18651685393258427,0.1732498729207704,-0.013266981011813866,0.49735879174022146,0.4852459671461404,0.5373260999800306,0.15301350911009384,0.03981458514566503,251.0,111.0,56.0,27.0,0.1956521739130435,0.3253012048192771,0.30662983425414364,0.6746987951807228,0.3752808988764045
P6_fixed,42,raw_missing__Origin_State,missing,56,7,0.125,0.17462126019862523,0.04962126019862523,0.4432234432234432,0.3745108379783569,0.6005830903790088,0.11037058614504465,0.054300688408863,36.0,13.0,6.0,1.0,0.07142857142857142,0.14285714285714285,0.2653061224489796,0.8571428571428571,0.3392857142857143
P6_fixed,42,raw_missing__Destination_Airport,observed,501,90,0.17964071856287425,0.1734031617182951,-0.006237556844579162,0.4933340582862114,0.472868387837965,0.5422681805893484,0.1482470346868548,0.03942414363060104,287.0,124.0,62.0,28.0,0.18421052631578946,0.3111111111111111,0.30170316301703165,0.6888888888888889,0.3712574850299401
P6_fixed,42,raw_missing__Destination_Airport,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,raw_missing__Destination_Airport_ID,observed,501,90,0.17964071856287425,0.1734031617182951,-0.006237556844579162,0.4933340582862114,0.472868387837965,0.5422681805893484,0.1482470346868548,0.03942414363060104,287.0,124.0,62.0,28.0,0.18421052631578946,0.3111111111111111,0.30170316301703165,0.6888888888888889,0.3712574850299401
P6_fixed,42,raw_missing__Destination_Airport_ID,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,raw_missing__Destination_State,observed,454,80,0.1762114537444934,0.1743013973252125,-0.0019100564192809089,0.4975313305631217,0.4672053510125602,0.5464739304812833,0.14600178606708994,0.04201453814596892,261.0,113.0,54.0,26.0,0.18705035971223022,0.325,0.30213903743315507,0.675,0.36784140969163
P6_fixed,42,raw_missing__Destination_State,missing,47,10,0.2127659574468085,0.16472658798339077,-0.04803936946341775,0.453153704837722,0.5275709137684699,0.49999999999999994,0.16993518092883908,0.05357733530974348,26.0,11.0,8.0,2.0,0.15384615384615385,0.2,0.2972972972972973,0.8,0.40425531914893614
P6_fixed,42,raw_missing__Distance,observed,501,90,0.17964071856287425,0.1734031617182951,-0.006237556844579162,0.4933340582862114,0.472868387837965,0.5422681805893484,0.1482470346868548,0.03942414363060104,287.0,124.0,62.0,28.0,0.18421052631578946,0.3111111111111111,0.30170316301703165,0.6888888888888889,0.3712574850299401
P6_fixed,42,raw_missing__Distance,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,raw_missing__Airline,observed,441,78,0.17687074829931973,0.17391823695820724,-0.0029525113411124904,0.49702900591382704,0.46607083483350714,0.5591756728120365,0.14575250920222027,0.040409396147482464,254.0,109.0,53.0,25.0,0.1865671641791045,0.32051282051282054,0.3002754820936639,0.6794871794871795,0.3673469387755102
P6_fixed,42,raw_missing__Airline,missing,60,12,0.2,0.16961735870494063,-0.03038264129505938,0.4666666666666667,0.5228304024207299,0.4149305555555556,0.16658179699891879,0.04729424309043395,33.0,15.0,9.0,3.0,0.16666666666666666,0.25,0.3125,0.75,0.4
P6_fixed,42,raw_missing__Carrier_Code(IATA),observed,448,80,0.17857142857142858,0.1724401511990758,-0.006131277372352778,0.49831345907168983,0.47228238690573726,0.5310292119565218,0.14771803743224135,0.03729545200439599,257.0,111.0,54.0,26.0,0.1897810218978102,0.325,0.3016304347826087,0.675,0.36830357142857145
P6_fixed,42,raw_missing__Carrier_Code(IATA),missing,53,10,0.18867924528301888,0.18154332610716747,-0.007135919175851407,0.45037037037037037,0.4778217542084931,0.6418604651162791,0.15271855865037992,0.0610734848796101,30.0,13.0,8.0,2.0,0.13333333333333333,0.2,0.3023255813953488,0.8,0.39622641509433965
P6_fixed,42,raw_missing__Carrier_ID(DOT),observed,437,79,0.18077803203661327,0.171950101434333,-0.008827930602280265,0.5045927562351027,0.47072571000130403,0.5628138038328265,0.14767287451505037,0.027264215196079414,256.0,102.0,54.0,25.0,0.1968503937007874,0.31645569620253167,0.2849162011173184,0.6835443037974683,0.35697940503432496
P6_fixed,42,raw_missing__Carrier_ID(DOT),missing,64,11,0.171875,0.18332483896972374,0.011449838969723736,0.42028985507246375,0.4874988599414154,0.41337907375643224,0.1521674721099569,0.12475555963480041,31.0,22.0,8.0,3.0,0.12,0.2727272727272727,0.41509433962264153,0.7272727272727273,0.46875
P6_fixed,42,raw_missing__Tail_Number,observed,501,90,0.17964071856287425,0.1734031617182951,-0.006237556844579162,0.4933340582862114,0.472868387837965,0.5422681805893484,0.1482470346868548,0.03942414363060104,287.0,124.0,62.0,28.0,0.18421052631578946,0.3111111111111111,0.30170316301703165,0.6888888888888889,0.3712574850299401
