bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,dimension,group
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Origin_Airport_ID,observed
0,0.0,0.1,21,0.07080333775351032,0.14285714285714285,P6_fixed,42,raw_missing__Origin_State,observed
1,0.1,0.2,308,0.15487818648421178,0.18831168831168832,P6_fixed,42,raw_missing__Origin_State,observed
2,0.2,0.3,108,0.23340709447424499,0.2037037037037037,P6_fixed,42,raw_missing__Origin_State,observed
3,0.3,0.4,7,0.317411593703126,0.0,P6_fixed,42,raw_missing__Origin_State,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Origin_State,observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Origin_State,observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Origin_State,observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Origin_State,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Origin_State,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Origin_State,observed
0,0.0,0.1,7,0.0672610523924251,0.0,P6_fixed,42,raw_missing__Origin_State,missing
1,0.1,0.2,31,0.1581150043309497,0.16129032258064516,P6_fixed,42,raw_missing__Origin_State,missing
2,0.2,0.3,15,0.2292658129508463,0.06666666666666667,P6_fixed,42,raw_missing__Origin_State,missing
3,0.3,0.4,3,0.32247029195130067,0.3333333333333333,P6_fixed,42,raw_missing__Origin_State,missing
4,0.4,0.5,0,,,P6_fixed,42,raw_missing__Origin_State,missing
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Origin_State,missing
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Origin_State,missing
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Origin_State,missing
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Origin_State,missing
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Origin_State,missing
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,raw_missing__Destination_Airport,observed
1,0.1,0.2,339,0.15517417867668634,0.18584070796460178,P6_fixed,42,raw_missing__Destination_Airport,observed
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,raw_missing__Destination_Airport,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,raw_missing__Destination_Airport,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Destination_Airport,observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Destination_Airport,observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Destination_Airport,observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Destination_Airport,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Destination_Airport,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Destination_Airport,observed
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
1,0.1,0.2,339,0.15517417867668634,0.18584070796460178,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Destination_Airport_ID,observed
