phase_key,seed,arm,calibrator,group,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_clean,42,split,platt,both_observed,202507,35711,0.17634452142395077,0.17618449256318053,-0.00016002886077023937,0.5760573706716976,0.44683451572551086,0.6445623088813175,0.1396482944120306,0.002875107950151222,136731,30065,23386,12325,0.2907525359754659,0.3451317521211951,0.1802501259022998,0.6548682478788048,0.2639464314813809
P6_clean,42,split,platt,departure_missing,24810,4392,0.17702539298669892,0.17585309115241304,-0.001172301834285877,0.5759392926704892,0.4479217893412393,0.6462063657357227,0.14027070994036717,0.007215937968279624,16821,3597,2905,1487,0.29248623131392604,0.33857012750455373,0.17616808698207465,0.6614298724954463,0.26207174526400645
P6_clean,42,split,platt,arrival_missing,24653,4378,0.177584878108141,0.1770586559927632,-0.0005262221153778113,0.5818395060254368,0.44755425840136004,0.6480696442643663,0.14002710325714168,0.004739891906843804,16652,3623,2821,1557,0.3005791505791506,0.35564184559159434,0.17869297163995068,0.6443581544084057,0.26138806636109196
P6_clean,42,split,platt,both_missing,3031,519,0.17123061695809963,0.16982268451042448,-0.0014079324476751476,0.5177130321211887,0.4552391094441909,0.5705162426518415,0.14130888440688189,0.008644581119136937,2333,179,460,59,0.24789915966386555,0.11368015414258188,0.07125796178343949,0.8863198458574181,0.21082151105245794
P6_clean,42,split,isotonic,overall,255001,45000,0.1764698961964855,0.1761042457656772,-0.00036565043080830084,0.576774028954677,0.4492725156152437,0.6434706634201213,0.13980352341209662,0.002244896055336384,171798,38203,29286,15714,0.2914479663186008,0.3492,0.1819181813419936,0.6508,0.26466170720899135
P6_clean,42,split,isotonic,both_observed,202507,35711,0.17634452142395077,0.1760953794742061,-0.00024914194974468007,0.5763546752836928,0.4495695225482926,0.643742873580562,0.13969680442918805,0.002127684414562761,136124,30672,23169,12542,0.2902300180497061,0.35120831116462714,0.18388930190172426,0.6487916888353729,0.2658722908343909
P6_clean,42,split,isotonic,departure_missing,24810,4392,0.17702539298669892,0.17591404370244268,-0.0011113492842562411,0.5781985192255206,0.44772102076000403,0.6452114602619461,0.14022027331789338,0.0042957145920374485,16776,3642,2868,1524,0.29500580720092917,0.3469945355191257,0.17837202468410226,0.6530054644808743,0.2623941958887545
P6_clean,42,split,isotonic,arrival_missing,24653,4378,0.177584878108141,0.17718506496732006,-0.0003998131408209371,0.5825460619357563,0.44759805516258816,0.6471896135762322,0.1400585934711354,0.002313385501736837,16588,3687,2793,1585,0.30064491654021247,0.3620374600274098,0.18184956843403205,0.6379625399725902,0.2628483348882489
P6_clean,42,split,isotonic,both_missing,3031,519,0.17123061695809963,0.1694625313142375,-0.0017680856438621328,0.5180229253505115,0.4557479619718515,0.5684997177325332,0.1414477113842398,0.009689109749686684,2310,202,456,63,0.23773584905660378,0.12138728323699421,0.0804140127388535,0.8786127167630058,0.21709006928406466
P6_fixed,1,shared,none,overall,255001,45000,0.1764698961964855,0.17419592673934928,-0.0022739694571362323,0.5743914520922355,0.4480811425217061,0.6410342726410297,0.1400839441321873,0.004393855043452147,171955,38046,29585,15415,0.28834103365069863,0.34255555555555556,0.18117056585444832,0.6574444444444445,0.2652185677703225
