stratum,picking_order_rank,non_empty_population_rows,selected_rows
2018|summer|West:Los_Angeles|medium,244,311,1
2019|summer|West:Los_Angeles|medium,245,479,1
2018|winter|West:Los_Angeles|medium,246,371,1
2019|winter|West:Los_Angeles|medium,247,365,1
2018|fall|West:Phoenix|medium,248,96,1
2019|fall|West:Phoenix|medium,249,102,1
2018|spring|West:Phoenix|medium,250,90,1
2019|spring|West:Phoenix|medium,251,109,1
2018|summer|West:Phoenix|medium,252,114,1
2019|summer|West:Phoenix|medium,253,112,1
2018|winter|West:Phoenix|medium,254,101,1
2019|winter|West:Phoenix|medium,255,99,1
2018|fall|Alaska|small,256,137,1
2019|fall|Alaska|small,257,89,1
2018|spring|Alaska|small,258,169,1
2019|spring|Alaska|small,259,103,1
2018|summer|Alaska|small,260,68,1
2019|summer|Alaska|small,261,129,1
2018|winter|Alaska|small,262,99,1
2019|winter|Alaska|small,263,92,1
2018|fall|Midwest:Chicago|small,264,266,1
2019|fall|Midwest:Chicago|small,265,220,1
2018|spring|Midwest:Chicago|small,266,116,1
2019|spring|Midwest:Chicago|small,267,202,1
2018|summer|Midwest:Chicago|small,268,115,1
2019|summer|Midwest:Chicago|small,269,208,1
2018|winter|Midwest:Chicago|small,270,153,1
2019|winter|Midwest:Chicago|small,271,219,1
2018|fall|Midwest:Detroit|small,272,100,1
2019|fall|Midwest:Detroit|small,273,63,1
2018|spring|Midwest:Detroit|small,274,37,1
2019|spring|Midwest:Detroit|small,275,55,1
2018|summer|Midwest:Detroit|small,276,22,1
2019|summer|Midwest:Detroit|small,277,82,1
2018|winter|Midwest:Detroit|small,278,63,1
2019|winter|Midwest:Detroit|small,279,55,1
2018|fall|Non-contiguous territory|small,280,40,1
2019|fall|Non-contiguous territory|small,281,24,1
2018|spring|Non-contiguous territory|small,282,83,1
2019|spring|Non-contiguous territory|small,283,32,1
2018|summer|Non-contiguous territory|small,284,40,1
2019|summer|Non-contiguous territory|small,285,39,1
2018|winter|Non-contiguous territory|small,286,67,1
2019|winter|Non-contiguous territory|small,287,34,1
2018|fall|Northeast:New_York|small,288,107,1
2019|fall|Northeast:New_York|small,289,62,1
2018|spring|Northeast:New_York|small,290,49,1
2019|spring|Northeast:New_York|small,291,87,1
2018|summer|Northeast:New_York|small,292,72,1
2019|summer|Northeast:New_York|small,293,118,1
2018|winter|Northeast:New_York|small,294,64,1
2019|winter|Northeast:New_York|small,295,84,1
2018|fall|South:Chicago|small,296,260,1
2019|fall|South:Chicago|small,297,193,1
2018|spring|South:Chicago|small,298,25,1
2019|spring|South:Chicago|small,299,216,1
2018|summer|South:Chicago|small,300,77,0
2019|summer|South:Chicago|small,301,178,0
2018|winter|South:Chicago|small,302,111,0
2019|winter|South:Chicago|small,303,180,0
2018|fall|South:New_York|small,304,160,0
2019|fall|South:New_York|small,305,114,0
2018|spring|South:New_York|small,306,49,0
2019|spring|South:New_York|small,307,153,0
2018|summer|South:New_York|small,308,72,0
2019|summer|South:New_York|small,309,129,0
2018|winter|South:New_York|small,310,71,0
2019|winter|South:New_York|small,311,93,0
2018|fall|West:Boise|small,312,17,0
2019|fall|West:Boise|small,313,13,0
2018|spring|West:Boise|small,314,13,0
2019|spring|West:Boise|small,315,12,0
2018|summer|West:Denver|small,316,123,0
2019|summer|West:Boise|small,317,15,0
2018|winter|West:Boise|small,318,18,0
2019|winter|West:Boise|small,319,11,0
2018|fall|West:Denver|small,320,163,0
2019|fall|West:Denver|small,321,132,0
2018|spring|West:Denver|small,322,88,0
2019|spring|West:Denver|small,323,113,0
2018|summer|West:Los_Angeles|small,324,36,0
2019|summer|West:Denver|small,325,130,0
2018|winter|West:Denver|small,326,109,0
2019|winter|West:Denver|small,327,134,0
2018|fall|West:Los_Angeles|small,328,81,0
2019|fall|West:Los_Angeles|small,329,56,0
2018|spring|West:Los_Angeles|small,330,99,0
2019|spring|West:Los_Angeles|small,331,47,0
2018|winter|West:Los_Angeles|small,332,75,0
2019|summer|West:Los_Angeles|small,333,69,0
2018|fall|West:Phoenix|small,334,12,0
2019|winter|West:Los_Angeles|small,335,78,0
2018|winter|West:Phoenix|small,336,4,0
2019|fall|West:Phoenix|small,337,11,0
2019|spring|West:Phoenix|small,338,7,0
2019|summer|West:Phoenix|small,339,11,0
2019|winter|West:Phoenix|small,340,13,0
