phase_key,arm,seed,group,brier,ece_10,log_loss,macro_f1,roc_auc,recall,precision,calibration_bias,calibrator,n
P6_clean,shared,1,both_observed,-7.4573515828901815e-06,-0.0008581277539092998,-4.083535354215684e-05,-0.00074278332276978,3.834329592389274e-06,-0.00022402060989618056,-0.0012780305998493224,0.002010435423606016,platt,202507
P6_clean,shared,1,departure_missing,7.39327108970067e-06,-0.0012402364842346997,-3.326224611210904e-05,0.000824849920923576,-4.001076945392423e-05,0.0038706739526411793,0.0008056305698058153,0.0020175871687119003,platt,24810
P6_clean,shared,1,arrival_missing,-4.0602460172983745e-05,-0.0005013635495840002,-0.00012770100780329363,-0.002291841844150322,9.423870839464499e-05,-0.0022841480127911984,-0.00367053908966547,0.0020486871610302,platt,24653
P6_clean,shared,1,both_missing,5.295416210138182e-05,0.00030380849320920007,0.00012992687526386382,-0.0024961605266251574,-0.0003689419878993849,-0.0019267822736031004,-0.009204625914562198,0.0014873938068723999,platt,3031
P6_clean,split,1,overall,-9.541324627604375e-06,-2.9563811975799777e-05,-3.2243877666204845e-05,0.00015792462212904645,1.1622166878888507e-06,0.011799999999999977,-0.0017006041686878914,0.0022633385529527996,platt,255001
P6_clean,split,1,both_observed,-7.278353783002345e-06,0.00016885387168850009,-2.4962235321668302e-05,3.760515430561995e-05,-2.1657188029489127e-05,0.011565063985886692,-0.0018201030652503225,0.0022638418922775886,platt,202507
P6_clean,split,1,departure_missing,-2.6946170040009765e-06,-0.0006692339677834992,-2.555820320837565e-05,0.001227351585062486,3.578443678298182e-05,0.014571948998178486,-0.00020979358811679116,0.0022635949391763,platt,24810
P6_clean,split,1,arrival_missing,-4.0025761673195825e-05,0.0010469008167530002,-0.00011855429745971646,-3.3094869230532176e-05,0.00022856125713199837,0.011877569666514431,-0.00207699674650641,0.0022700536093171997,platt,24653
P6_clean,split,1,both_missing,3.117084083778532e-05,-0.003865522923679499,0.0001285465049127299,0.0003712222018730227,-0.0006811236699679757,0.003853564547206201,-0.0040675105485231955,0.0021729931344736998,platt,3031
P6_fixed,shared,7,overall,-1.504518858691517e-05,-0.0022112710504348996,-7.687317664950566e-05,-0.0003211909681860581,5.778596821492954e-06,0.006199999999999983,-0.0016628835183123969,0.0019836492081902,platt,255001
P6_fixed,shared,7,both_observed,-1.3566170378703779e-05,-0.0021591420856046,-7.20037341818136e-05,-0.0005766183164760408,7.717849542010491e-06,0.0057125255523508,-0.0020031989928638305,0.0019958516536295002,platt,202507
P6_fixed,shared,7,departure_missing,8.993418882219384e-06,-0.0021114746645523,-3.497278537190063e-05,0.0009892420684675107,-1.1519265564641223e-05,0.009335154826958125,0.00021041693495738034,0.0019683208575318,platt,24810
P6_fixed,shared,7,arrival_missing,-5.711405944458514e-05,-0.0021403112299445,-0.00017390062233441084,0.0005067617194216556,-8.528236970173353e-06,0.007309273640931924,-0.00038901593807216805,0.0020154722436333,platt,24653
P6_fixed,shared,7,both_missing,3.154487464751554e-05,-0.00017297172809390034,4.400202131460418e-05,-3.793043289423981e-05,0.00031064761974886057,0.003853564547206201,-0.006907761072734692,0.0010350126092160995,platt,3031
P6_fixed,split,7,overall,-1.309485547490441e-05,-0.0022738736642502998,-6.847881046423421e-05,0.000536673392995124,-1.5885321180908463e-05,0.0007777777777778216,0.000843785981061218,0.0022590583974114,platt,255001
P6_fixed,split,7,both_observed,-1.2639625142807365e-05,-0.0021360067274056,-6.676309354380905e-05,0.00039411887233331555,-1.0347770863283756e-05,0.0004760437960291686,0.0006362925908797723,0.002272613255695,platt,202507
P6_fixed,split,7,departure_missing,1.3738514770211818e-05,-0.0022577879177883,-2.3855828682972646e-05,0.0003192658220422251,-6.980697234593158e-06,0.001366120218579181,0.00032710595691026745,0.0022397283825944,platt,24810
P6_fixed,split,7,arrival_missing,-4.9177058869503965e-05,-0.0025322617292702,-0.00014217938280591813,0.0019077362536686904,-7.980717397104709e-05,0.0025125628140703626,0.003022874081666904,0.002293605066017016,platt,24653
P6_fixed,split,7,both_missing,3.0326891686499602e-05,0.00019592726237709947,5.108547376203587e-05,0.0011493161685859343,-6.28965551096039e-05,0.0019267822736031004,0.0025000516539597784,0.0012306667643096,platt,3031
P6_clean,shared,7,overall,-5.75396027718833e-06,-0.0004760394349573997,-1.34992756707919e-05,0.00029512246047136426,-1.5169239933054968e-06,0.014422222222222225,-0.0024324845425358066,0.0026029514299684,platt,255001
P6_clean,shared,7,both_observed,-7.624436090092335e-06,-0.00013230744090350025,-2.1666041377210732e-05,0.00043965032446358077,9.609579733504958e-06,0.014645347371958217,-0.0021318532226938247,0.0026018451687438997,platt,202507
P6_clean,shared,7,departure_missing,2.3750342783013245e-06,-0.0017932099502346007,1.0462786860898632e-05,-0.0010238184539577144,1.6280859365114253e-06,0.012750455373406189,-0.004550770761889311,0.0025974699887437998,platt,24810
P6_clean,shared,7,arrival_missing,1.7503245340055873e-06,-0.00014544585705309962,2.9558165286824867e-05,-0.0002449268974911156,-6.671627389276402e-05,0.014618547281863903,-0.0035147653170793935,0.0026166380775803997,platt,24653
P6_clean,shared,7,both_missing,-8.36004505669341e-06,-0.0034836702837639007,-1.4214102591003641e-05,0.006386797620939411,-0.0006151589902189114,0.011560693641618491,0.012588302253172118,0.0026104087955244,platt,3031
P6_clean,split,7,overall,1.847621889511375e-06,-0.0006957211753722999,1.6417054062856096e-06,0.00016811616086465087,-2.858716545794948e-05,0.009133333333333327,-0.001913535083390594,0.0027234492177582,platt,255001
P6_clean,split,7,both_observed,-2.059726827680075e-06,-0.00019185257062460026,-8.26960189442838e-06,0.00023638509750867343,-4.086879266351762e-05,0.0094648707681107,-0.0018038168606948624,0.0027218549698004,platt,202507
P6_clean,split,7,departure_missing,2.4224540278894313e-05,-0.0030419347358609005,5.910412036841395e-05,-0.0002571553865662324,-1.651503610977656e-05,0.009107468123861595,-0.002713822862830173,0.002719788737192,platt,24810
P6_clean,split,7,arrival_missing,9.876092397803626e-06,-0.0001794545596403999,2.3407972070899064e-05,-0.00014044100633292533,7.602185346644585e-05,0.006852444038373595,-0.002001733826324903,0.0027498924076394997,platt,24653
P6_clean,split,7,both_missing,1.4440244119118262e-05,-0.0024093892103731005,1.6443031783885953e-05,0.0020313005527619055,0.00012502607905950924,0.005780346820809301,0.0005558750239601229,0.0026448477442896,platt,3031
P6_fixed,shared,42,overall,-2.430829790320277e-05,-0.0041555272714849,0.0008106627255570209,0.00041654911865762756,-0.0005521166830422253,0.015911111111111098,-0.0019451880237619235,0.0018997195079119,isotonic,255001
