phase_key,seed,fold,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_clean,1,2,51000,9000,0.17647058823529413,0.1743841706734808,-0.002086417561813325,0.5774930142345445,0.44692512456173356,0.6466447156084656,0.13977748163928538,0.007994988558350036,34957,7043,6029,2971,0.29668464150189733,0.33011111111111113,0.1676904761904762,0.6698888888888889,0.2563137254901961
P6_clean,1,3,51000,9000,0.17647058823529413,0.17489624727325231,-0.0015743409620418147,0.573806858256136,0.448219694774419,0.6403176018518518,0.1400838477801448,0.003303098581509066,34798,7202,6055,2945,0.2902335665714004,0.32722222222222225,0.17147619047619048,0.6727777777777778,0.25994117647058823
P6_clean,1,4,51000,9000,0.17647058823529413,0.17326285196912916,-0.0032077362661649678,0.5741925838447327,0.447999812015227,0.6405349880952381,0.1400059478074741,0.0048062934432377405,33532,8468,5645,3355,0.2837689249767403,0.37277777777777776,0.20161904761904761,0.6272222222222222,0.27672549019607845
P6_fixed,7,0,51001,9000,0.17646712809552753,0.1741000795179894,-0.002367048577538139,0.5797299263621658,0.4468844708623096,0.6463460856752088,0.13969708762632424,0.00757179010523001,35268,6733,6079,2921,0.3025688833644085,0.32455555555555554,0.16030570700697602,0.6754444444444444,0.2512107605733221
P6_fixed,7,1,51000,9000,0.17647058823529413,0.17470472629230427,-0.0017658619429898603,0.580607233356653,0.44626357302547376,0.6466779854497354,0.13943639819324868,0.006411973627662902,34980,7020,5973,3027,0.30128396536279484,0.3363333333333333,0.16714285714285715,0.6636666666666666,0.25476470588235295
P6_fixed,7,2,51000,9000,0.17647058823529413,0.17499635582870085,-0.0014742324065932788,0.5760944009170674,0.4478597275571514,0.6422776230158731,0.14003109830003058,0.004810935199991836,34790,7210,6006,2994,0.2934143473147785,0.33266666666666667,0.17166666666666666,0.6673333333333333,0.25913725490196077
P6_fixed,7,3,51000,9000,0.17647058823529413,0.174314789438814,-0.0021557987964801184,0.5748153483798679,0.4474584780052474,0.6429788928571429,0.13989266396964276,0.005869308676042783,33680,8320,5680,3320,0.2852233676975945,0.3688888888888889,0.1980952380952381,0.6311111111111111,0.27450980392156865
P6_fixed,7,4,51000,9000,0.17647058823529413,0.17495506039735625,-0.0015155278379378745,0.5744264788300131,0.44840752419558116,0.6384926851851851,0.14009685267933975,0.004877243244794068,33581,8419,5656,3344,0.2842812207770127,0.37155555555555553,0.20045238095238097,0.6284444444444445,0.27598039215686276
P6_clean,7,0,51001,9000,0.17646712809552753,0.173194555521152,-0.0032725725743755207,0.5788860167029436,0.44751084578313,0.6437588192344628,0.1398652118669096,0.005054397229286316,34820,7181,5958,3042,0.2975643157585836,0.338,0.17097211971143544,0.662,0.2576223995607929
P6_clean,7,1,51000,9000,0.17647058823529413,0.17418943365841402,-0.0022811545768801067,0.5795965281586123,0.4464162182809643,0.6455946415343915,0.13949162114060876,0.0030743155089551365,34548,7452,5858,3142,0.2965829714932981,0.3491111111111111,0.17742857142857144,0.6508888888888889,0.26098039215686275
P6_clean,7,2,51000,9000,0.17647058823529413,0.17413060941777297,-0.0023399788175211544,0.5736080114459438,0.44838667087393924,0.640533832010582,0.14022076373981687,0.004945095229091009,34486,7514,5963,3037,0.2878400151644394,0.33744444444444444,0.1789047619047619,0.6625555555555556,0.2642549019607843
P6_clean,7,3,51000,9000,0.17647058823529413,0.1735513790780288,-0.002919209157265318,0.573612493633174,0.4476584320345141,0.6422746534391535,0.139955558088157,0.004998760052807906,34648,7352,6013,2987,0.2889060837605184,0.3318888888888889,0.17504761904761904,0.6681111111111111,0.2620588235294118
P6_clean,7,4,51000,9000,0.17647058823529413,0.1750215160403267,-0.0014490721949674268,0.5681257661214558,0.44880075123406693,0.6371031759259259,0.14020130025578084,0.004945518568455064,36072,5928,6534,2466,0.2937812723373838,0.274,0.14114285714285715,0.726,0.24435294117647058
