attribute,value,n,observed_rate,mean_probability
Origin_Airport,MDW,3134,0.2539885130823229,0.22048307496638814
Carrier_Code(IATA),HA,3267,0.09121518212427303,0.10163953100217106
Carrier_Code(IATA),DL,42166,0.14217616088791918,0.15357348934127643
Carrier_Code(IATA),AS,12685,0.1461568782026015,0.15556224814576167
Carrier_Code(IATA),NK,6463,0.16401052142967662,0.16770080389453182
Carrier_Code(IATA),AA,46060,0.17761615284411636,0.17530944643574176
Carrier_Code(IATA),(결측),27888,0.18151176133103844,0.17385722419425556
Carrier_Code(IATA),UA,52112,0.18450644765121277,0.18171111318438524
Carrier_Code(IATA),WN,46156,0.1877112401421267,0.1831174030206534
Carrier_Code(IATA),G4,3471,0.19072313454335926,0.1813578936848894
Carrier_Code(IATA),B6,10111,0.24339827910196815,0.2169444526338363
Carrier_Code(IATA),F9,4277,0.25391629646948793,0.2083994927527372
